Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.63,43.68,TORONTO INTL A,6158731,2023-01-16,2023,01,16,,-1.2,,-6.3,,-3.8,,21.8,,0.0,,0.0,,0.0,T,0.0,T,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-01-17,2023,01,17,,3.0,,-0.9,,1.1,,16.9,,0.0,,2.5,,6.5,,9.0,,0,T,28,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-18,2023,01,18,,3.0,,-1.4,,0.8,,17.2,,0.0,,0.2,,0.0,,0.2,,,,28,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-19,2023,01,19,,1.6,,-3.5,,-0.9,,18.9,,0.0,,0.0,,0.9,,0.9,,10,,30,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-20,2023,01,20,,3.6,,0.8,,2.2,,15.8,,0.0,,2.3,,0.0,T,2.3,,,,30,,42,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-21,2023,01,21,,0.6,,-2.7,,-1.1,,19.1,,0.0,,0.0,,0.0,T,0.0,T,,,22,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-22,2023,01,22,,1.3,,-2.8,,-0.7,,18.7,,0.0,,0.0,,2.8,,2.8,,2,E,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-01-23,2023,01,23,,0.0,,-6.0,,-3.0,,21.0,,0.0,,0.0,,0.0,,0.0,,2,,24,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-24,2023,01,24,,3.2,,-2.2,,0.5,,17.5,,0.0,,0.0,,0.2,,0.2,,0,T,26,,51,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-25,2023,01,25,,4.4,,0.2,,2.3,,15.7,,0.0,,3.6,,0.2,,3.8,,0,T,28,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-26,2023,01,26,,-0.5,,-9.4,,-5.0,,23.0,,0.0,,0.0,,4.6,,4.6,,6,,35,,60,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-27,2023,01,27,,1.5,,-4.2,,-1.4,,19.4,,0.0,,0.0,,1.3,,1.3,,10,,30,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-28,2023,01,28,,2.9,,-0.2,,1.3,,16.7,,0.0,,2.1,,0.3,,2.3,,10,,30,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-29,2023,01,29,,-1.5,,-7.9,,-4.7,,22.7,,0.0,,0.0,,0.5,,0.4,,9,,19,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-30,2023,01,30,,1.2,,-4.6,,-1.7,,19.7,,0.0,,0.0,,0.4,,0.3,,9,,19,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-01-31,2023,01,31,,2.5,,-1.3,,0.6,,17.4,,0.0,,0.2,,0.0,,0.2,,,,27,,35,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-01,2023,02,01,,-0.7,,-10.5,,-5.6,,23.6,,0.0,,0.0,,0.0,T,0.0,T,14,,25,,51,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-02,2023,02,02,,0.2,,-9.3,,-4.6,,22.6,,0.0,,0.0,,9.2,,9.1,,14,E,32,,69,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-03,2023,02,03,,2.0,,-8.0,,-3.0,,21.0,,0.0,,0.0,,0.0,,0.0,,14,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-02-04,2023,02,04,,-1.3,,-14.6,,-8.0,,26.0,,0.0,,1.0,,3.1,,3.9,,14,,22,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-05,2023,02,05,,5.1,,-1.6,,1.7,,16.3,,0.0,,0.0,T,0.0,,0.0,T,6,,23,,55,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-06,2023,02,06,,5.3,,-4.5,,0.4,,17.6,,0.0,,0.0,,0.0,,0.0,,14,,29,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-07,2023,02,07,,6.0,,-1.3,,2.4,,15.6,,0.0,,0.0,T,0.0,,0.0,T,13,,23,,35,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-08,2023,02,08,,6.2,,-0.6,,2.8,,15.2,,0.0,,2.8,,0.0,,2.8,,,,29,,36,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-09,2023,02,09,,8.5,,-0.1,,4.2,,13.8,,0.0,,0.0,,0.0,,0.0,,,,24,,61,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-10,2023,02,10,,4.9,,-3.0,,1.0,,17.0,,0.0,,0.0,,0.0,T,0.0,T,0,T,27,,59,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-11,2023,02,11,,3.8,,-3.7,,0.0,,18.0,,0.0,,0.0,,0.0,T,0.0,T,0,T,27,,59,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-12,2023,02,12,,-10.8,,-21.8,,-16.3,,34.3,,0.0,,0.0,,0.0,,0.0,,14,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-02-13,2023,02,13,,6.5,,-1.1,,2.7,,15.3,,0.0,,0.0,,0.0,,0.0,,1,,26,,33,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-14,2023,02,14,,6.2,,-1.7,,2.2,,15.8,,0.0,,0.0,,0.0,,0.0,,1,,26,,33,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-15,2023,02,15,,6.0,,-0.3,,2.9,,15.1,,0.0,,19.5,,0.0,,19.5,,,,29,,36,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-16,2023,02,16,,4.1,,-2.2,,0.9,,17.1,,0.0,,2.7,,0.0,,2.7,,,,29,,36,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-17,2023,02,17,,0.2,,-9.5,,-4.7,,22.7,,0.0,,5.4,,0.6,,6.0,,0,T,34,,56,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-18,2023,02,18,,1.7,,-8.0,,-3.1,,21.1,,0.0,,0.0,,0.0,,0.0,,0,T,26,,48,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-19,2023,02,19,,3.8,,-4.4,,-0.3,,18.3,,0.0,,0.0,,0.0,,0.0,,14,,29,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-20,2023,02,20,,11.8,,1.3,,6.6,,11.4,,0.0,,0.2,,0.0,,0.2,,,,24,,61,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-21,2023,02,21,,6.8,,-3.0,,1.9,,16.1,,0.0,,0.0,,0.0,T,0.0,T,,,29,,72,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-22,2023,02,22,,1.7,,-10.9,,-4.6,,22.6,,0.0,,0.0,,0.6,,0.6,,14,E,32,,69,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-23,2023,02,23,,-2.5,,-21.4,,-11.9,,29.9,,0.0,,0.0,,0.8,,0.4,,14,,22,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-24,2023,02,24,,-5.0,,-14.8,,-9.9,,27.9,,0.0,,0.0,,0.0,T,0.0,T,14,,25,,51,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-25,2023,02,25,,-2.4,,-9.2,,-5.8,,23.8,,0.0,,0.0,,2.5,,2.5,,14,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-02-26,2023,02,26,,8.0,,-1.6,,3.2,,14.8,,0.0,,12.7,,0.0,,12.7,,,,24,,55,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-27,2023,02,27,,-0.7,,-11.3,,-6.0,,24.0,,0.0,,1.5,,4.2,,5.6,,10,,6,,56,
-79.63,43.68,TORONTO INTL A,6158731,2023-02-28,2023,02,28,,-0.5,,-8.0,,-4.2,,22.2,,0.0,,1.3,,2.7,,4.0,,10,,6,,56,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-01,2023,03,01,,3.3,,-3.1,,0.1,,17.9,,0.0,,0.0,,0.0,,0.0,,1,,25,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-02,2023,03,02,,7.7,,-0.6,,3.6,,14.4,,0.0,,2.1,,0.0,,2.1,,6,,20,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-03,2023,03,03,,0.7,,-5.8,,-2.5,,20.5,,0.0,,0.0,,13.1,,13.1,,1,,25,,69,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-04,2023,03,04,,2.8,,-3.7,,-0.5,,18.5,,0.0,,0.0,,13.1,,13.1,,28,,6,,58,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-05,2023,03,05,,4.0,,-2.7,,0.6,,17.4,,0.0,,0.2,,0.8,,1.0,,15,,32,,38,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-06,2023,03,06,,8.5,,-1.1,,3.7,,14.3,,0.0,,2.5,,0.0,,2.5,,6,,20,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-07,2023,03,07,,3.1,,-4.6,,-0.7,,18.7,,0.0,,0.0,,0.0,,0.0,,12,,34,,47,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-08,2023,03,08,,3.4,,-3.8,,-0.2,,18.2,,0.0,,0.0,,0.0,,0.0,,,,33,,36,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-09,2023,03,09,,3.2,,-3.2,,0.0,,18.0,,0.0,,0.0,,0.0,,0.0,,7,,36,,37,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-10,2023,03,10,,5.0,,-2.4,,1.3,,16.7,,0.0,,0.2,,0.4,,0.6,,15,,31,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-11,2023,03,11,,0.8,,-4.7,,-2.0,,20.0,,0.0,,0.0,,0.4,,0.4,,15,,31,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-12,2023,03,12,,-0.2,,-5.5,,-2.9,,20.9,,0.0,,0.0,,4.4,,3.0,,10,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-03-13,2023,03,13,,1.9,,-3.1,,-0.6,,1.8,,0.0,,0.0,,3.0,,3.0,,28,,6,,58,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-14,2023,03,14,,-0.3,,-6.5,,-3.4,,21.4,,0.0,,0.0,,0.0,T,0.0,T,2,,27,,60,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-15,2023,03,15,,3.0,,-2.5,,0.2,,17.8,,0.0,,0.0,,0.0,,0.0,,10,,8,,40,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-16,2023,03,16,,3.0,,-4.1,,-0.5,,18.5,,0.0,,0.0,,0.0,,0.0,,15,,1,,31,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-17,2023,03,17,,8.2,,0.1,,4.1,,13.9,,0.0,,5.6,,0.0,T,5.6,,4,,27,,63,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-18,2023,03,18,,-0.2,,-3.5,,-1.9,,19.9,,0.0,,0.0,,6.4,,4.8,,14,,36,,34,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-19,2023,03,19,,1.0,,-8.1,,-3.5,,21.5,,0.0,,0.0,,0.0,T,0.0,T,2,,27,,60,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-20,2023,03,20,,3.2,,-3.3,,-0.0,,18.0,,0.0,,0.0,,0.0,,0.0,,7,,36,,37,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-21,2023,03,21,,7.5,,-1.6,,3.0,,15.0,,0.0,,0.0,,0.0,,0.0,,0,T,23,,37,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-22,2023,03,22,,6.3,,0.8,,3.5,,145.0,,0.0,,0.0,,0.0,T,0.0,T,0,T,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-03-23,2023,03,23,,5.4,,-2.0,,1.7,,16.3,,0.0,,0.0,,0.0,,0.0,,7,,36,,37,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-24,2023,03,24,,2.4,,-3.5,,-0.6,,18.6,,0.0,,0.0,,0.0,,0.0,,11,,1,,67,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-25,2023,03,25,,9.1,,0.9,,5.0,,13.0,,0.0,,19.6,,0.0,T,19.6,,,,21,,81,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-26,2023,03,26,,9.6,,1.7,,5.6,,12.4,,0.0,,,M,,M,,M,,,26,,67,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-27,2023,03,27,,4.4,,1.5,,3.0,,15.0,,0.0,,,M,,M,1.8,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-03-28,2023,03,28,,6.4,,0.8,,3.6,,14.4,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-03-29,2023,03,29,,9.1,,-6.3,,1.4,,16.6,,0.0,,0.8,,1.0,,1.8,,0,T,31,,73,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-30,2023,03,30,,4.2,,-7.2,,-1.5,,19.5,,0.0,,0.0,,0.0,,0.0,,0,T,23,,37,
-79.63,43.68,TORONTO INTL A,6158731,2023-03-31,2023,03,31,,4.9,,0.1,,2.5,,15.5,,0.0,,11.2,,0.0,T,11.2,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-04-01,2023,04,01,,10.5,,2.6,,6.5,,11.5,,0.0,,0.9,,0.0,,0.9,,,,27,,55,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-02,2023,04,02,,20.1,,3.6,,11.9,,6.1,,0.0,,10.8,,0.0,,10.8,,,,31,,74,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-03,2023,04,03,,11.6,,6.0,,8.8,,9.2,,0.0,,5.1,,0.0,,5.1,,,,10,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-04,2023,04,04,,9.3,,-1.9,,3.7,,14.3,,0.0,,0.0,,0.0,,0.0,,,,27,,55,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-05,2023,04,05,,19.7,,10.1,,14.9,,3.1,,0.0,,5.9,,0.0,,5.9,,,,28,,33,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-06,2023,04,06,,19.3,,8.0,,13.7,,4.3,,0.0,,0.2,,0.0,,0.2,,,,25,,58,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-07,2023,04,07,,11.7,,6.0,,8.8,,9.2,,0.0,,5.5,,0.0,,5.5,,,,10,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-08,2023,04,08,,19.1,,8.6,,13.9,,4.1,,0.0,,0.1,,0.0,,0.1,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-04-09,2023,04,09,,21.1,,9.6,,15.4,,2.6,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-04-10,2023,04,10,,12.4,,4.3,,8.3,,9.7,,0.0,,15.0,,0.0,,15.0,,,,28,,34,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-11,2023,04,11,,17.4,,-0.3,,8.5,,9.5,,0.0,,8.7,,0.0,,8.7,,,,25,,38,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-12,2023,04,12,,18.2,,8.6,,13.4,,4.6,,0.0,,0.1,,0.0,,0.1,,,,25,,32,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-13,2023,04,13,,8.3,,1.9,,5.1,,12.9,,0.0,,14.1,,0.0,,14.1,,,,28,,34,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-14,2023,04,14,,14.1,,6.8,,10.4,,7.6,,0.0,,10.0,,0.0,,10.0,,,,28,,33,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-15,2023,04,15,,12.4,,0.1,,6.2,,11.8,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-04-16,2023,04,16,,13.5,,2.9,,8.2,,9.8,,0.0,,3.7,,0.0,,3.7,,,,10,,53,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-17,2023,04,17,,6.1,,-1.6,,2.2,,15.8,,0.0,,2.7,,0.0,,2.7,,,,35,,44,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-18,2023,04,18,,5.7,,0.5,,3.1,,14.9,,0.0,,0.2,,0.4,,0.6,,,,28,,64,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-19,2023,04,19,,11.3,,1.6,,6.5,,11.5,,0.0,,0.0,T,0.0,,0.0,T,,,26,,46,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-20,2023,04,20,,23.8,,7.8,,15.8,,2.2,,0.0,,0.0,,0.0,,0.0,,,,26,,68,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-21,2023,04,21,,18.1,,3.5,,10.8,,7.2,,0.0,,9.1,,0.0,,9.1,,,,29,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-22,2023,04,22,,8.1,,-1.8,,3.1,,14.9,,0.0,,9.6,,0.0,,9.6,,,,35,,44,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-23,2023,04,23,,11.6,,1.8,,6.7,,11.3,,0.0,,5.1,,0.0,,5.1,,,,7,,40,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-24,2023,04,24,,9.4,,2.8,,6.1,,11.9,,0.0,,0.0,,0.0,T,0.0,T,,,29,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-25,2023,04,25,,9.6,,0.8,,5.2,,12.8,,0.0,,0.0,T,0.0,,0.0,T,,,27,,49,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-26,2023,04,26,,6.4,,-3.9,,1.3,,16.7,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-04-27,2023,04,27,,11.8,,-0.3,,5.8,,12.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-04-28,2023,04,28,,13.9,,5.6,,9.8,,8.2,,0.0,,1.1,,0.0,,1.1,,,,25,,32,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-29,2023,04,29,,10.7,,6.5,,8.6,,9.4,,0.0,,7.5,,0.0,,7.5,,,,9,,44,
-79.63,43.68,TORONTO INTL A,6158731,2023-04-30,2023,04,30,,11.0,,2.2,,6.6,,11.4,,0.0,,0.1,,0.0,,0.1,,,,25,,32,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-01,2023,05,01,,25.4,,9.3,,17.4,,0.6,,0.0,,0.0,,0.0,,0.0,,,,32,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-02,2023,05,02,,23.0,,11.9,,17.4,,0.6,,0.0,,5.8,,0.0,,5.8,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-03,2023,05,03,,24.8,,9.4,,17.1,,0.9,,0.0,,0.0,,0.0,,0.0,,,,32,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-04,2023,05,04,,25.5,,13.5,,19.5,,0.0,,1.5,,0.1,,0.0,,0.1,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-05,2023,05,05,,22.4,,10.2,,16.3,,1.7,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-06,2023,05,06,,24.7,,13.0,,18.9,,0.0,,0.9,,4.5,,0.0,,4.5,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-07,2023,05,07,,14.3,,2.6,,8.5,,9.5,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-08,2023,05,08,,16.8,,4.9,,10.9,,7.1,,0.0,,0.0,,0.0,,0.0,,,,35,,58,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-09,2023,05,09,,21.2,,6.4,,13.8,,4.2,,0.0,,0.0,,0.0,,0.0,,,,28,,48,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-10,2023,05,10,,20.1,,5.5,,12.8,,5.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-11,2023,05,11,,16.7,,9.6,,13.1,,4.9,,0.0,,10.3,,0.0,,10.3,,,,27,,44,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-12,2023,05,12,,19.4,,9.4,,14.4,,3.6,,0.0,,7.8,,0.0,,7.8,,,,27,,44,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-13,2023,05,13,,14.8,,3.9,,9.3,,8.7,,0.0,,9.2,,0.0,,9.2,,,,34,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-14,2023,05,14,,18.2,,7.0,,12.6,,5.4,,0.0,,1.5,,0.0,,1.5,,,,22,,54,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-15,2023,05,15,,14.3,,3.7,,9.0,,9.0,,0.0,,8.8,,0.0,,8.8,,,,34,,41,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-16,2023,05,16,,25.4,,7.6,,16.5,,1.5,,0.0,,0.0,,0.0,,0.0,,,,32,,39,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-17,2023,05,17,,26.5,,11.6,,19.1,,0.0,,1.1,,0.0,,0.0,,0.0,,,,36,,34,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-18,2023,05,18,,18.1,,7.7,,12.9,,5.1,,0.0,,0.1,,0.0,,0.1,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-19,2023,05,19,,24.0,,8.5,,16.2,,1.8,,0.0,,10.4,,0.0,,10.4,,,,17,,48,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-20,2023,05,20,,13.6,,5.6,,9.6,,8.4,,0.0,,1.2,,0.0,,1.2,,,,22,,54,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-21,2023,05,21,,16.2,,5.2,,10.7,,7.3,,0.0,,0.0,,0.0,,0.0,,,,36,,36,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-22,2023,05,22,,22.8,,8.2,,15.5,,2.5,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-23,2023,05,23,,14.2,,7.1,,10.6,,7.4,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-24,2023,05,24,,24.8,,10.3,,17.6,,0.4,,0.0,,0.0,,0.0,,0.0,,,,36,,32,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-25,2023,05,25,,20.7,,9.0,,14.8,,3.2,,0.0,,0.0,,0.0,,0.0,,,,35,,58,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-26,2023,05,26,,14.5,,6.7,,10.6,,7.4,,0.0,,0.2,,0.0,,0.2,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-27,2023,05,27,,18.1,,7.4,,12.8,,5.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-28,2023,05,28,,21.9,,8.1,,15.0,,3.0,,0.0,,0.0,,0.0,,0.0,,,,36,,34,
-79.63,43.68,TORONTO INTL A,6158731,2023-05-29,2023,05,29,,26.1,,13.9,,20.0,,0.0,,2.0,,3.4,,0.0,,3.4,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-30,2023,05,30,,14.3,,1.3,,7.8,,10.2,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-05-31,2023,05,31,,24.8,,13.7,,19.2,,0.0,,1.2,,0.0,,0.0,,0.0,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-06-01,2023,06,01,,24.8,,17.6,,21.2,,0.0,,3.2,,3.9,,0.0,,3.9,,,,,M,,M
-79.63,43.68,TORONTO INTL A,6158731,2023-06-02,2023,06,02,,24.8,,16.0,,20.4,,0.0,,2.4,,1.8,,0.0,,1.8,,,,31,,40,
